2011,,
ACT New Zealand,,
50,"CALDER, Campbell Gordon",Seat Allocation 120
51,"HAYES, John Bernard",Wairarapa Electorate
52,"KING, Colin McDonald",Kaikōura Electorate
53,"GILMORE, Aaron Wayne",
54,"ROSS, Jami-Lee Matenga",Botany Electorate
55,"QUINN, Bernard Paul",
56,"FOSTER-BELL, Paul Ayers Robert",
57,"BARRY, Margaret Mary",North Shore Electorate
58,"McKELVIE, Ian Robert Flockhart",Rangitīkei Electorate
59,"MITCHELL, Mark Patrick",Rodney Electorate
60,"SABIN, Michael Lewis",Northland Electorate
61,"SIMPSON, Scott Anthony",Coromandel Electorate
62,"O'CONNOR, Simon David",Tāmaki Electorate
63,"HAUITI, Claudette",
64,"HAYES, Joanne Kowhai",
65,"HAPETA, Leonie Ruth",
66,"COLLINS, Samuel David",
67,"FLETCHER, Jonathan Murray",
68,"TANNER, Heather Diane",
69,"KRUM, Denise Adrienne",
70,"O'FALLON, Carolyn Elizabeth",
71,"GURREY, Vivienne Ann",
72,"ROLLESTON, Karen Lynda",
73,"HUDSON, Brett John",
74,"COOPER, Linda Ann",
75,"VARLEY, Karl Daniel",
New Zealand First Party,,
1,"PETERS, Winston Raymond",Seat Allocation 8
2,"MARTIN, Tracey Anne",Seat Allocation 22
3,"WILLIAMS, Andrew Bruce Forbes",Seat Allocation 36
4,"PROSSER, Richard Ivor",Seat Allocation 53
5,"STEWART, Barbara Joy",Seat Allocation 67
6,"HORAN, Brendan Francis John",Seat Allocation 81
7,"O'ROURKE, Denis John",Seat Allocation 96
8,"LOLE-TAYLOR, Asenati",Seat Allocation 111
9,"MULFORD-TYLER, Helen Jane",
10,"BARR, Hugh",
11,"TABUTEAU, Fletcher Hoporona",
12,"PARAONE, Rewiti Pomare Kingi",
13,"CATCHPOLE, Brent Stanley",
14,"CRAVEN, Ben",
15,"HE, Xiao Peng",
16,"GUDGEON, William Mulligan",
17,"GARDENER, Kevin James",
18,"DOLMAN, Raymond",
19,"SCOTT, David",
20,"RATANA, Randall Anthony",
21,"BINDRA, Mahesh Jaichand",
22,"PERRY, Edwin Jock",
23,"JELLEY, Dion Clifford",
24,"HALL, John Harold",
25,"STONE, Kevin Arthur",
26,"NABBS, Douglas William John",
27,"PIERSON, Brent Steven",
28,"ILALIO, Oliva",
29,"STEWART, Gordon James",
30,"REID, Tamati Kaiwai",
31,"BROUGHAM, Ian Wallace",
32,"WOODS, William Edward",
33,"DAVIES, Allen Edwin",
United Future,,
1,"DUNNE, Peter Francis",Ōhariu Electorate
2,"STEVENS, Douglas Roy",
3,"EADDY, Robert Raymond",
4,"EUSOFF, Mohamed Sultan",
5,"SIMMONS, Alan Frank",
6,"MOCKRIDGE, Bryan",
7,"ROBERTS, Vanessa Joy",
8,"GEORGE, Peter Don",
9,"PARKASH, Ram",
10,"GIBSON, Martin James",
11,"GRAF, Clyde Waldemar",
12,"LIGHT, Damian Francis",
13,"McMILLAN, Andrew James",
14,"BROWN, Diane",
15,"CARTER, Brian Hubert",
16,"MILLER, Johnny Isaac",
17,"GASKIN, Ian Camden",
